batchNumber,controlType,timeHr,temperature,ph,dissolvedO2,substrate,penicillin
1,recipe,70,297.86,6.534,44.75,11.207,8.4063
1,recipe,72,298.10,6.557,45.00,10.876,9.0371
1,recipe,74,297.96,6.497,44.52,10.895,9.7229
1,recipe,76,297.91,6.508,42.77,10.814,10.3432
1,recipe,78,297.88,6.496,43.49,10.574,10.9705
1,recipe,80,298.02,6.527,43.08,10.268,11.7277
1,recipe,82,297.90,6.549,42.59,10.015,12.4858
1,recipe,84,297.95,6.517,43.48,10.186,13.2263
1,recipe,86,298.11,6.537,43.84,10.446,13.9116
1,recipe,88,298.07,6.533,42.59,10.861,14.8087
1,recipe,90,297.96,6.481,44.80,10.818,15.4365
1,recipe,92,298.01,6.535,47.43,11.086,16.3994
1,recipe,94,298.11,6.485,48.57,11.157,17.1346
1,recipe,96,298.06,6.540,47.82,11.365,17.8010
1,recipe,98,297.95,6.559,51.14,11.389,18.7473
1,recipe,100,297.85,6.441,52.42,10.960,19.4823
1,recipe,102,298.03,6.501,54.29,10.951,20.2010
1,recipe,104,298.09,6.454,54.98,11.040,21.0113
1,recipe,106,298.13,6.482,58.01,10.813,21.7415
1,recipe,108,297.99,6.491,59.98,10.563,22.5479
1,recipe,110,297.89,6.505,63.18,10.108,23.1658
1,recipe,112,297.89,6.455,63.85,9.801,23.9808
1,recipe,114,297.86,6.500,66.87,9.303,24.7088
1,recipe,116,297.88,6.528,70.52,8.941,25.2849
1,recipe,118,297.89,6.490,73.02,8.396,25.9450
1,recipe,120,298.05,6.474,73.27,8.027,26.5196
1,recipe,122,298.02,6.500,75.75,7.416,27.0253
1,recipe,124,297.97,6.534,76.48,7.104,27.6360
1,recipe,126,298.07,6.509,80.44,6.934,28.1193
1,recipe,128,298.13,6.455,80.30,6.874,28.6128
1,recipe,130,298.09,6.490,83.03,6.849,29.1239
1,recipe,132,298.10,6.449,84.21,6.824,29.4571
1,recipe,134,297.93,6.449,87.34,6.374,29.9765
1,recipe,136,297.97,6.493,88.13,6.245,30.3859
1,recipe,138,297.97,6.448,88.51,6.348,30.5709
1,recipe,140,298.06,6.473,89.96,6.293,31.0624
1,recipe,142,298.05,6.485,92.16,6.309,31.3537
1,recipe,144,297.89,6.460,90.88,5.853,31.4950
1,recipe,146,297.88,6.552,93.76,6.010,31.8198
1,recipe,148,298.04,6.442,95.55,5.724,32.1668
1,recipe,150,298.08,6.534,95.75,5.693,32.2987
1,recipe,152,298.12,6.518,94.24,5.552,32.6362
1,recipe,154,297.86,6.494,97.26,5.660,32.8453
1,recipe,156,298.03,6.466,97.55,5.279,32.9280
1,recipe,158,298.06,6.528,98.58,5.275,33.0855
1,recipe,160,297.92,6.547,96.79,5.393,33.3518
1,recipe,162,297.87,6.557,96.68,5.204,33.3929
1,recipe,164,297.88,6.457,98.91,5.235,33.5284
1,recipe,166,298.03,6.533,99.29,5.703,33.6181
1,recipe,168,298.02,6.471,97.32,5.893,33.8589
1,recipe,170,298.05,6.457,97.95,6.133,33.8507
1,recipe,172,298.00,6.517,99.51,6.454,34.0673
1,recipe,174,297.86,6.490,98.73,6.377,34.0381
1,recipe,176,297.95,6.455,99.31,6.839,34.1187
1,recipe,178,297.95,6.525,98.21,6.940,34.2645
1,recipe,180,298.06,6.486,98.33,6.855,34.3656
1,recipe,182,297.92,6.526,100.71,6.972,34.3753
1,recipe,184,298.13,6.545,100.29,6.763,34.4267
1,recipe,186,298.14,6.548,99.24,6.622,34.4105
1,recipe,188,297.93,6.442,98.52,6.719,34.5152
1,recipe,190,298.08,6.549,100.04,6.177,34.4794
1,recipe,192,297.96,6.525,99.36,6.209,34.5666
1,recipe,194,297.99,6.473,100.66,5.921,34.6075
1,recipe,196,298.00,6.469,99.60,5.380,34.6134
1,recipe,198,297.97,6.504,99.76,4.865,34.6146
1,recipe,200,298.08,6.450,99.87,4.600,34.6431
2,operator,0,297.85,6.538,98.78,19.920,0.3582
2,operator,2,297.95,6.484,97.69,20.132,0.3239
2,operator,4,297.89,6.448,95.45,19.903,0.4505
2,operator,6,297.96,6.496,95.29,19.986,0.5693
2,operator,8,297.88,6.550,94.26,20.346,0.5344
2,operator,10,297.93,6.520,96.23,19.965,0.5426
2,operator,12,297.97,6.452,94.42,20.041,0.5985
2,operator,14,298.01,6.482,94.56,20.095,0.7066
2,operator,16,297.90,6.499,93.70,19.999,0.8301
2,operator,18,297.88,6.478,91.78,19.834,0.8519
2,operator,20,297.92,6.543,91.38,19.617,0.8801
2,operator,22,298.10,6.453,87.58,19.078,1.0299
2,operator,24,297.92,6.516,89.09,18.681,1.0908
2,operator,26,297.95,6.526,86.65,18.371,1.0934
2,operator,28,298.01,6.457,83.35,17.925,1.2441
2,operator,30,297.99,6.475,82.98,17.261,1.3538
2,operator,32,297.85,6.516,81.29,17.077,1.4473
2,operator,34,297.93,6.482,78.21,16.515,1.7006
2,operator,36,298.08,6.546,76.74,15.880,1.7220
2,operator,38,298.01,6.554,75.44,15.238,1.8616
2,operator,40,298.02,6.508,73.17,14.361,2.1156
2,operator,42,298.02,6.472,72.95,14.093,2.3007
2,operator,44,298.06,6.524,68.17,13.993,2.4337
2,operator,46,297.98,6.516,66.24,13.722,2.7817
2,operator,48,298.04,6.556,63.78,13.212,3.0130
2,operator,50,298.03,6.464,64.18,13.083,3.1481
2,operator,52,298.07,6.549,60.20,13.071,3.4114
2,operator,54,297.92,6.499,57.80,12.564,3.7642
2,operator,56,297.88,6.525,55.24,12.460,4.0689
2,operator,58,298.11,6.454,53.98,12.259,4.3253
2,operator,60,297.99,6.545,52.86,12.248,4.6908
2,operator,62,297.92,6.521,51.73,11.741,5.0657
2,operator,64,297.91,6.538,48.26,11.891,5.5631
2,operator,66,297.89,6.484,46.21,11.530,5.9912
2,operator,68,298.09,6.522,46.50,11.430,6.2586
2,operator,70,298.03,6.481,46.05,11.245,6.7445
2,operator,72,297.89,6.454,43.68,10.784,7.3623
2,operator,74,297.92,6.525,42.60,10.696,7.8762
2,operator,76,298.05,6.521,42.19,10.700,8.3881
2,operator,78,297.97,6.511,41.66,10.537,8.9281
2,operator,80,298.14,6.484,42.38,10.340,9.4413
2,operator,82,297.97,6.510,43.37,10.360,9.8813
2,operator,84,298.07,6.490,43.24,10.240,10.5129
2,operator,86,298.08,6.467,42.99,10.587,11.1864
2,operator,88,298.06,6.467,43.61,10.930,11.8292
2,operator,90,297.90,6.484,45.63,11.055,12.4324
2,operator,92,297.88,6.537,46.80,10.888,12.9589
2,operator,94,298.06,6.470,48.65,11.030,13.7669
2,operator,96,298.02,6.530,49.06,11.173,14.3360
2,operator,98,297.89,6.557,50.44,11.128,15.0279
2,operator,100,297.86,6.443,52.18,10.996,15.5353
2,operator,102,297.88,6.535,55.04,11.229,16.1599
2,operator,104,298.02,6.444,57.08,10.829,16.7556
2,operator,106,297.93,6.464,57.54,10.597,17.3840
2,operator,108,298.03,6.497,60.04,10.501,17.9346
2,operator,110,297.92,6.503,63.51,9.950,18.5325
2,operator,112,298.04,6.479,65.21,9.680,19.0706
2,operator,114,298.08,6.555,67.37,9.231,19.6217
2,operator,116,297.86,6.509,69.87,8.792,20.2717
2,operator,118,298.13,6.484,71.29,8.207,20.6269
2,operator,120,297.91,6.540,73.43,7.787,21.2237
2,operator,122,297.95,6.510,74.96,7.254,21.6347
2,operator,124,297.88,6.471,76.39,6.937,22.1007
2,operator,126,297.97,6.458,80.17,6.829,22.5907
2,operator,128,298.03,6.458,81.20,6.749,22.9770
2,operator,130,297.95,6.441,81.79,6.579,23.2597
2,operator,132,298.00,6.528,84.43,6.841,23.6683
2,operator,134,297.92,6.452,85.57,6.636,23.9071
2,operator,136,297.99,6.513,88.89,6.291,24.3206
2,operator,138,297.97,6.483,88.28,6.263,24.4969
2,operator,140,298.15,6.462,90.66,6.253,24.8154
2,operator,142,297.96,6.492,92.72,6.209,24.9751
2,operator,144,297.86,6.492,93.68,6.082,25.3424
2,operator,146,298.04,6.528,92.15,5.786,25.4855
2,operator,148,297.89,6.466,94.68,5.883,25.7228
2,operator,150,298.00,6.503,95.33,5.886,25.9359
2,operator,152,298.08,6.461,94.33,5.780,26.1405
2,operator,154,297.89,6.485,95.57,5.634,26.1456
2,operator,156,298.06,6.518,97.12,5.324,26.4449
2,operator,158,297.86,6.553,97.96,5.281,26.4403
2,operator,160,297.91,6.461,96.38,5.300,26.6376
2,operator,162,297.89,6.519,98.76,5.344,26.8274
2,operator,164,297.93,6.441,97.04,5.222,26.8143
2,operator,166,298.03,6.446,98.94,5.714,26.9545
2,operator,168,297.99,6.543,98.01,5.637,27.1110
2,operator,170,297.96,6.475,97.97,5.941,27.1547
2,operator,172,298.08,6.512,99.61,6.360,27.2251
2,operator,174,297.86,6.540,100.32,6.696,27.1886
2,operator,176,298.06,6.492,99.99,6.700,27.2188
2,operator,178,298.02,6.467,99.37,6.670,27.4327
2,operator,180,298.04,6.518,98.18,6.924,27.3945
2,operator,182,297.94,6.470,99.69,6.783,27.4346
2,operator,184,298.02,6.445,98.50,6.639,27.4485
2,operator,186,297.88,6.517,99.17,6.661,27.4750
2,operator,188,297.94,6.543,98.85,6.386,27.5736
2,operator,190,298.01,6.487,101.16,6.479,27.5818
2,operator,192,298.03,6.467,100.96,5.987,27.6301
2,operator,194,297.94,6.450,99.17,5.710,27.6532
2,operator,196,298.00,6.527,99.88,5.488,27.8081
2,operator,198,297.87,6.522,99.73,4.915,27.8282
2,operator,200,298.11,6.533,100.01,4.683,27.8526
